aded25,gen21tot,gen21ea,gen21cs,gen21othr,win21,rvtot25,rvactive725,rvhisp,rvjwsh,rvirit,rvmslm,rvchns,rvgopnop,cvapnhw,cvapblack,cvaphisp,cvapasian,acsbaplus,acsmedinc125,acsmedinc45,ascown,ascrent,cvapyouth,cvapsenior,djt2024,ea2021,cs2021,bikelanefilter
25003,264.719,173.802,75.561,15.355,Eric Adams,446,334,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,1,1,1,0,0
25004,142.117,85.446,51.602,5.07,Eric Adams,788,622,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,1,1,0,1,0,0
25005,462.857,303.131,136.279,23.446,Eric Adams,1539,1302,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,1,0,1,0,0
25006,212.883,127.554,76.398,8.93,Eric Adams,1166,892,0,0,0,1,1,1,0,0,0,0,1,0,0,1,0,1,0,1,1,0,0
25007,42,23,13,6,Eric Adams,186,151,0,0,0,0,1,1,1,0,0,0,1,0,0,1,0,1,0,1,1,0,0
25008,26.486,11.772,14.715,0,Curtis Sliwa,145,115,0,0,0,0,1,1,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0
25009,330.156,140.957,176.049,13.149,Curtis Sliwa,1593,1162,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,1,0,1,0
25010,24.518,19.483,4.069,0.965,Eric Adams,280,238,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1
25011,280.074,116.459,156.611,7.004,Curtis Sliwa,1281,1018,0,1,0,0,1,1,1,0,0,1,1,1,0,1,0,0,1,1,0,1,0
25012,435.068,193.527,227.373,14.168,Curtis Sliwa,1622,1340,0,0,0,0,1,1,1,0,0,1,1,1,0,1,0,0,1,1,0,1,0
25013,383.53,140.006,226.022,17.502,Curtis Sliwa,1713,1349,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,1,0,1,0
25014,344.641,133.045,200.011,11.584,Curtis Sliwa,1668,1296,0,0,0,0,1,1,1,0,0,1,0,0,0,1,0,0,1,1,0,1,0
25015,246.354,96.833,139.374,10.146,Curtis Sliwa,1292,964,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,1,0,1,0
25016,346.035,134.55,202.342,9.142,Curtis Sliwa,1412,1126,0,1,0,0,1,1,1,0,0,1,0,0,0,1,0,0,1,1,0,1,0
25017,426.78,194.858,219.851,12.07,Curtis Sliwa,1574,1265,0,0,0,0,1,1,0,0,0,1,1,1,0,1,0,1,1,1,0,1,1
25018,351.299,224.683,114.902,11.714,Eric Adams,1522,1246,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1
25019,291.099,192.703,86.79,11.607,Eric Adams,1587,1318,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,1,0,1,0,0
25020,304.188,205.93,90.938,7.32,Eric Adams,1513,1248,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,1,1,0,1,0,0
25021,248.549,142.23,98.968,7.351,Eric Adams,1281,1030,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,1,1,0,0
25022,294.219,147.747,131.512,14.96,Eric Adams,1416,1129,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,1,1,0,0
